location,source,target,id,fuzzy,context,translator_comments,developer_comments
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:12,CharacterHelper,,,,CH.name,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:56,Level Up: Lernpunkte:,,,,,,NOT HANDLED
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:58,Hitpoints:,,,,,,ConcatStrings call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:88,Lernpunkte:,,,,,,NOT HANDLED
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:90,Str:,,,,,,ConcatStrings call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:92,Dex:,,,,,,ConcatStrings call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:94,Mana:,,,,,,ConcatStrings call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:101,Zu wenig Lernpunkte!,,,,,,PrintScreen call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:114,nötig STR 11  DEX 16,,,,,,PrintScreen call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:121,nötig STR 17  DEX 22,,,,,,PrintScreen call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:128,nötig: STR 26  DEX 28,,,,,,PrintScreen call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:136,nötig STR 52  DEX 34,,,,,,PrintScreen call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:144,nötig STR 62  DEX 40,,,,,,PrintScreen call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:152,nötig STR 78  DEX 50,,,,,,PrintScreen call.
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:171,ENDE,,,,CH_Exit.description,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:200,Gib mir Level!,,,,CH_Level.description,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:216,BACK,,,,CH_Level_BACK,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:217,Level  1 -  5,,,,CH_Level1,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:218,Level  6 - 10,,,,CH_Level6,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:219,Level 11 - 15,,,,CH_Level11,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:220,Level 16 - 20,,,,CH_Level16,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:221,Level 21 - 25,,,,CH_Level21,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:222,Level 26 - 30,,,,CH_Level26,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:229,BACK,,,,CH_Level_BACK,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:230,Level 26,,,,CH_Level_26,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:231,Level 27,,,,CH_Level_27,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:232,Level 28,,,,CH_Level_28,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:233,Level 29,,,,CH_Level_29,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:234,Level 30,,,,CH_Level_30,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:241,BACK,,,,CH_Level_BACK,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:242,Level 21,,,,CH_Level_21,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:243,Level 22,,,,CH_Level_22,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:244,Level 23,,,,CH_Level_23,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:245,Level 24,,,,CH_Level_24,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:246,Level 25,,,,CH_Level_25,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:253,BACK,,,,CH_Level_BACK,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:254,Level 16,,,,CH_Level_16,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:255,Level 17,,,,CH_Level_17,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:256,Level 18,,,,CH_Level_18,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:257,Level 19,,,,CH_Level_19,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:258,Level 20,,,,CH_Level_20,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:265,BACK,,,,CH_Level_BACK,,
_work/Data/Scripts/content/AI/Test_Skripts/CharacterHelper.d:266,Level 11,,,,CH_Level_11,,
