"location", "source", "target", "id", "fuzzy", "context", "translator_comments", "developer_comments"
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:21,Mögest du in einem Stück zurückkehren!,Kéž by ses vrátil celý!,,,Info_Saturas_EXIT_14_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:49,Was machst du hier? Du hast hier nichts zu suchen! Verschwinde!,Co tady děláš? Tady nemáš co pohledávat! Zmiz!,,,Info_Saturas_Intruder_14_00,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:74,Ich habe wichtige Neuigkeiten aus dem Lager der Bruderschaft!,Mám důležité zprávy z tábora Bratrstva!,,,Info_Saturas_NEWS.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:87,Ich habe wichtige Neuigkeiten aus dem Lager der Bruderschaft!,Mám důležité zprávy z tábora Bratrstva!,,,Info_Saturas_NEWS_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:88,"Wenn dir Cronos die Erlaubnis gab, mich aufzusuchen, müssen es in der Tat wichtige Nachrichten sein!","Musí být opravdu důležitá zpráva, jestliže ti Cronos povolil mě navštívit!",,,Info_Saturas_NEWS_14_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:101,Y'Berion ist tot,Y´Berion je mrtev!,,,Info_Saturas_YBERION.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:114,Y'Berion ist tot! Er starb bei einer großen rituellen Anrufung des Schläfers.,Y´Berion je mrtev! Zemřel během rituálního vzývání Spáče.,,,Info_Saturas_YBERION_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:115,"Y'Berion tot? Das sind schlechte Nachrichten, sehr schlechte Nachrichten!","Y´Berion je mrtev´? To je špatná zpráva, vskutku špatná!",,,Info_Saturas_YBERION_14_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:116,"Wer hat die Führung der Bruderschaft übernommen? Dieser machtgierige, verschlagene Cor Kalom?",Kdo teď vede Bratrstvo? Ten mocichtivý a zabedněný Cor Kalom?,,,Info_Saturas_YBERION_14_03,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:117,"Nein! Kalom hat der Bruderschaft den Rücken gekehrt. Er hat einige Templer mitgenommen. Niemand weiß, wohin sie aufgebrochen sind.","Ne! Kalom se od Bratrstva odvrátil. Vzal sebou pár templářů. Nikdo neví, kam odešli.",,,Info_Saturas_YBERION_15_04,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:118,Warum das? Er war doch der zweite Mann nach Y'Berion!,Proč to všechno? Byl na druhém místě za Y´Berionem!,,,Info_Saturas_YBERION_14_05,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:119,"Gewisse Ereignisse haben die Gurus davon überzeugt, dass der Weg ihres Gottes der falsche ist. Er scheint ein Erzdämon zu sein, der nur Böses im Schilde führt.","Jisté události přesvědčily Guru, že jsou na špatné cestě. Z jejich boha se vyklubal zlý arcidémon.",,,Info_Saturas_YBERION_15_06,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:120,"Einer der Gurus hat mich unter dem Einfluss des Schläfers fast umgebracht, obwohl ich eben diesem Mann kurz zuvor das Leben gerettet hatte.","Jeden z Guru mě pod vlivem Spáče málem zabil, přestože jsem mu krátce předtím zachránil život.",,,Info_Saturas_YBERION_15_07,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:121,"Cor Kalom war der einzige Guru, der die wahre Natur der Höllenkreatur nicht sehen wollte und hat daher das Lager im Sumpf verlassen.","Cor Kalom je jediný Guru, který nechce uznat pravou podstatu té pekelné stvůry, a proto opustil tábor v bažinách.",,,Info_Saturas_YBERION_15_08,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:122,"Ich verstehe! Nun, das ist Glück im Unglück, denn Cor Angar ist ein guter Mann. Hart, aber ehrlich.","Aha! Dobře, aspoň v tomto směru máme štěstí. Cor Angar je dobrý muž. Je drsný, ale přesto poctivý.",,,Info_Saturas_YBERION_14_09,,
