location,source,target,id,fuzzy,context,translator_comments,developer_comments
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:52,Ich muss weiter!,Musím pokračovat!,,,Info_FreemineOrc_EXIT_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:53,Fremder kommen wieder!,"Pojď dál,cizinče!",,,Info_FreemineOrc_EXIT_17_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:57,Ich danke dir. Ich werde mich jetzt wieder auf den Weg machen.,Děkuju. Půjdu si svou cestou.,,,Info_FreemineOrc_EXIT_15_03,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:58,Fremder haben gute Reise!,"Šťastnou cestu,cizinče!",,,Info_FreemineOrc_EXIT_17_04,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:82,Tarrok brauchen Hilfe! Tarrok verletzt!,Tarrok potřebovat pomoc! Tarrok být raněn.,,,Info_FreemineOrc_INTRO_17_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:95,Was ist geschehen?,Co se tu stalo?,,,Info_FreemineOrc_WASPASSIERT.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:108,Was ist geschehen?,Co se tu stalo?,,,Info_FreemineOrc_WASPASSIERT_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:109,Tarrok hier gefangen von blauen Soldaten. Plötzlich überall rote Soldaten.,Tarrok být tady zajat modrými vojáky. Rudí vojáci najednou všude.,,,Info_FreemineOrc_WASPASSIERT_17_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:110,Rote Soldaten töten alles.,Rudí vojáci zabíjet každého.,,,Info_FreemineOrc_WASPASSIERT_17_03,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:111,Tarrok hierhin geflohen. Rote Soldaten nicht gehen hierhin. Rote Soldaten fürchten GACH LUG.,Tarrok utekl. Rudí vojáci sem nejít. Rudí vojáci se bát GACH LUGA.,,,Info_FreemineOrc_WASPASSIERT_17_04,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:112,"Bitte helfen,Tarrok verletzt.","Prosím pomoc,Tarrok být raněn.",,,Info_FreemineOrc_WASPASSIERT_17_05,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:125,Was kann ich für dich tun?,Co pro tebe můžu udělat?,,,Info_FreemineOrc_WASTUN.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:138,Was kann ich für dich tun?,Co pro tebe můžu udělat?,,,Info_FreemineOrc_WASTUN_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:139,Tarrok brauchen starke Medizin. Tarrok sonst sterben.,Tarrok potřebovat silný lék. Tarrok jinak brzy zemřít.,,,Info_FreemineOrc_WASTUN_17_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:140,Was für Medizin?,Jaký druh léku?,,,Info_FreemineOrc_WASTUN_15_03,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:141,GACH LUG mich vergiftet. Tarrok brauchen Medizin!,GACH LUGŮV lektvar. Tarrok potřebovat lék.,,,Info_FreemineOrc_WASTUN_17_04,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:142,"Tarrok haben Medizin,aber Tarrok verlieren. Tarrok nicht finden!","Tarrok mít lék,ale Tarrok ztratit. Tarrok ho nenajít!",,,Info_FreemineOrc_WASTUN_17_05,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:155,Ich werde die Medizin wiederfinden!,Přinesu ti ten lék zpátky!,,,Info_FreemineOrc_OFFER.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:170,Ich werde die Medizin wiederfinden!,Přinesu ti ten lék zpátky!,,,Info_FreemineOrc_OFFER_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:171,"Tarrok sehr schwach. Fremder beeilen,sonst Tarrok sterben!","Tarrok být velmi slabý. Cizinec pospíchat,jinak Tarrok zemřít!",,,Info_FreemineOrc_OFFER_17_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:187,Was bedeutet GACH LUG?,Co to znamená GACH LUG?,,,Info_FreemineOrc_CRAWLER.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:200,Was bedeutet GACH LUG?,Co to znamená GACH LUG?,,,Info_FreemineOrc_CRAWLER_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:201,Seien große Tiere auf vielen Beinen.,"Být velké zvíře,kráčet na mnoha nohách.",,,Info_FreemineOrc_CRAWLER_17_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:202,GACH LUG gefährlich! Orks und Menschen fressen!,GACH LUG být nebezpečný! Jíst skřety a lidi!,,,Info_FreemineOrc_CRAWLER_17_03,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:203,Du meinst wohl die Minecrawler hier unten!,Máš určitě na mysli důlní červy tady zezdola!,,,Info_FreemineOrc_CRAWLER_15_04,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:216,Du sprichst unsere Sprache?,Ty mluvíš naším jazykem?,,,Info_FreemineOrc_TONGUE.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:229,Du sprichst unsere Sprache?,Ty mluvíš naším jazykem?,,,Info_FreemineOrc_TONGUE_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:230,Tarrok schon lange Sklave von Menschen. Tarrok gut zuhören!,Tarrok být dlouho otrokem u lidí. Tarrok dobře poslouchat.,,,Info_FreemineOrc_TONGUE_17_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:243,Ich kann die Medizin nicht finden!,Nemůžu ten lék najít!,,,Info_FreemineOrc_SEARCHPOTION.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:258,Ich kann die Medizin nicht finden!,Nemůžu ten lék najít!,,,Info_FreemineOrc_SEARCHPOTION_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:259,Fremder suchen weiter! Medizin hier unten sein!,Cizinec ještě hledat! Lék být tady.,,,Info_FreemineOrc_SEARCHPOTION_17_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:260,Torrok fliehen vor GACH LUG! Tarrok sich bei Flucht verstecken!,Tarrok utekl GACH LUGOVI! Tarrok se schovat na útěku.,,,Info_FreemineOrc_SEARCHPOTION_17_03,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:261,Fremder auch suchen in Nischen!,Cizinec také hledat ve výklenku.,,,Info_FreemineOrc_SEARCHPOTION_17_04,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:276,"Bist du ein Freund von Ur-Shak,dem Schamanen?","Jsi přítel Ur-Shaka,toho šamana?",,,Info_FreemineOrc_SUCHEULUMULU.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:289,"Bist du ein Freund von Ur-Shak,dem Schamanen?","Jsi přítel Ur-Shaka,toho šamana?",,,Info_FreemineOrc_SUCHEULUMULU_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:290,Ur-Shak waren Sklave wie Tarrok. Ur-Shak gelaufen weg! Seien viele Winter her!,"Ur-Shak být otrok,jako Tarrok. Ur-Shak utéct! Být pryč už mnoho zim.",,,Info_FreemineOrc_SUCHEULUMULU_17_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:291,"Dein Freund sagte,du könntest mir ein Ulu-Mulu machen!","Tvůj přítel říkal,že bys mně mohl udělat Ulu-Mulu!",,,Info_FreemineOrc_SUCHEULUMULU_15_03,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:294,"Du mir geholfen,also ich dir helfen!","Ty pomoc mně,já pomoc tobě!",,,Info_FreemineOrc_SUCHEULUMULU_17_04,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:298,Tarrok sehr schwach. Tarrok ohne Medizin sterben.,"Tarrok být velmi slabý. Když nebýt lék,Tarrok zemřít.",,,Info_FreemineOrc_SUCHEULUMULU_17_05,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:299,"Fremder bringen Medizin,dann Tarrok helfen!","Cizinec přinést lék,pak Tarrok pomoc!",,,Info_FreemineOrc_SUCHEULUMULU_17_06,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:313,"Hier,ich habe deine Medizin gefunden!","Tady,našel jsem tvůj lék!",,,Info_FreemineOrc_GIVEPOTION.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:327,"Hier,ich habe deine Medizin gefunden!","Tady,našel jsem tvůj lék!",,,Info_FreemineOrc_GIVEPOTION_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:339,Fremder nicht böse wie andere Menschen! Fremder gut!,Cizinec nebýt špatný jako ostatní lidé! Cizinec být dobrý!,,,Info_FreemineOrc_GIVEPOTION_17_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:340,Tarrok schulden Dank!,Tarrok dlužit díky!,,,Info_FreemineOrc_GIVEPOTION_17_03,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:341,Kannst du mir jetzt ein Ulu-Mulu geben?,Můžeš mi teď dát ten Ulu-Mulu?,,,Info_FreemineOrc_GIVEPOTION_15_04,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:342,"Fremder helfen Tarrok,also Tarrok auch helfen Fremder!","Cizinec pomoc Tarrokovi,Tarrok pomoc cizincovi také.",,,Info_FreemineOrc_GIVEPOTION_17_05,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:343,"Fremder brauchen KROTAHK,KHAZ-TAK,DWACHKARR und ORTH-ANTAK.","Cizinec potřebovat KROTAHK,KHAZ-TAK,DWACHKARR a ORTH-ANTAK.",,,Info_FreemineOrc_GIVEPOTION_17_06,,
