"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:46","Wen haben wir denn da? Du bist doch der Typ, den ich getauft habe? Was willst du? Noch mehr Schläge? ","Kohopak to tady máme? Není to ten hoch, kterého jsem kdysi pokřtil? Co chceš? Vracíš se a chceš ještě víc?","","True","DIA_Bullit_First_06_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:60","Ich bin gekommen, um dir dein großes Maul zu stopfen.","Přišel jsem, abych ti zacpal tu tvojí velkou hubu.","","True","DIA_Bullit_AufsMAul.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:70","Ich bin gekommen, um dir dein großes Maul zu stopfen.","Přišel jsem, abych ti zacpal tu tvoji velkou hubu.","","True","DIA_Bullit_AufsMAul_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:71","Ja, dann komm mal her, Bürschchen!","Ha, tak pojď a zkus to, zlatíčko!","","True","DIA_Bullit_AufsMAul_06_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:105","Du schon wieder. Ich hätte dich schon am ersten Tag im See versenken sollen!","Zase ty! Měl jsem tě utopit v jezeře hned, jak jsem tě poprvé uviděl!","","True","DIA_GRD_203_Bullit_Wait4SC_06_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:106","Damals hatte ich keine Chance - jetzt ist genau das Gegenteil der Fall.","Tehdy jsem neměl šanci - teď se ale karta obrátila.","","True","DIA_GRD_203_Bullit_Wait4SC_15_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:107","Du Wurm! Ich hoffe, dass du es mir nicht so einfach machst, wie beim ersten Mal!","Ty červe! Jenom doufám, že mi to tentokrát tolik neusnadníš jako poprvé!","","True","DIA_GRD_203_Bullit_Wait4SC_06_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:50","Wer hat DICH denn reingelassen?","Kdo TĚ pustil dovnitř?","","True","DIA_Scorpio_Hello_13_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:51","Thorus.","Thorus.","","True","DIA_Scorpio_Hello_15_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:52","Und was willst du hier?","A co tady chceš?","","True","DIA_Scorpio_Hello_13_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:55","Ich wollte mal wissen, wie's hier drin aussieht.","Jen chci vidět, jak to tu vypadá.","","True","DIA_Scorpio_Hello_JustLooking","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:56","Ich habe eine Botschaft für die Magier.","Mám zprávu pro mágy.","","True","DIA_Scorpio_Hello_Mages","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:59","Ich habe eine Ladung Kraut für Gomez.","Nesu nějakou drogu z bažin pro Gomeze.","","True","DIA_Scorpio_Hello_Kraut","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:63","Ich bin auf dem Weg zu Gomez. Ich will mich euch anschließen.","Přišel jsem, abych se setkal s Gomezem. Chci se k vám přidat.","","True","DIA_Scorpio_Hello_Join","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:69","Ich wollte mal wissen, wie's hier drin aussieht.","Jen chci vidět, jak to tu vypadá.","","True","DIA_Scorpio_Hello_JustLooking_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:70","Sehr witzig.","Zábavné.","","True","DIA_Scorpio_Hello_JustLooking_13_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:76","Ich habe eine Botschaft für die Magier.","Mám zprávu pro mágy.","","True","DIA_Scorpio_Hello_Mages_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:77","Du arbeitest für die Magier? Damit will ich nichts zu tun haben ...","Ty pracuješ pro mágy? S tím nechci nic mít...","","True","DIA_Scorpio_Hello_Mages_13_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:83","Ich habe eine Ladung Kraut für Gomez.","Nesu nějakou drogu z bažin pro Gomeze.","","True","DIA_Scorpio_Hello_Kraut_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:84","Dann bring sie in das Haus mit den beiden Wachen vor der Tür.","Tak ji odevzdej v tom domě se dvěma strážemi přede dveřmi.","","True","DIA_Scorpio_Hello_Kraut_13_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:90","Ich bin auf dem Weg zu Gomez. Ich will mich euch anschließen.","Přišel jsem, abych se setkal Gomezem. Chci se k vám přidat.","","True","DIA_Scorpio_Hello_Join_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:91","Du? Hast du überhaupt schon was für uns geleistet?","Ty? Co bys tak pro nás mohl dělat?","","True","DIA_Scorpio_Hello_Join_13_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:92","Die Schatten waren zufrieden.","Stínové se mnou byli velmi spokojeni.","","True","DIA_Scorpio_Hello_Join_15_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:93","Von Schatten will hier keiner was hören. Hier drin geben WIR den Ton an.","Nikdo z nás tady nechce o Stínech ani slyšet. Tady jsme MY.","","True","DIA_Scorpio_Hello_Join_13_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:108","Kannst du mir beibringen zu kämpfen?","Naučíš mě bojovat?","","True","DIA_Scorpio_REFUSETRAIN.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:121","Kannst du mir beibringen zu kämpfen?","Naučíš mě bojovat?","","True","DIA_Scorpio_REFUSETRAIN_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:122","Ich unterrichte nur Gardisten. Bis Thorus dich nicht zum Gardisten gemacht hat, musst du dir jemand anderen suchen.","Cvičím jenom stráže. Dokud tě k nim Thorus nejmenuje, budeš si muset najít někoho jiného.","","True","DIA_Scorpio_REFUSETRAIN_13_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:155","War die beste Entscheidung von dir, zu uns zu kommen!","Dát se k nám byla tvoje nejlepší volba v životě!","","True","GRD_205_Scorpio_WELCOME_Info_13_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:170","Kann ich von dir lernen?","Budeš mě cvičit?","","True","GRD_205_Scorpio_CROSSBOW.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:185","Kann ich von dir lernen?","Budeš mě cvičit?","","True","GRD_205_Scorpio_CROSSBOW_Info_15_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:186","Wenn du genug Erz hast, zeige ich dir den Umgang mit der Armbrust. Gib mir einfach 200 Erz.","Pokud máš dost rudy, naučím tě, jak používat samostříl. Zaplať mi 200 nugetů.","","True","GRD_205_Scorpio_CROSSBOW_Info_13_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:191","Scorpio kann mir den Umgang mit der ARMBRUST zeigen","Scorpio mě může naučit používat SAMOSTŘÍL.","","","","","B_LogEntry call."
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:198","Scorpio kann mir den Umgang mit der ARMBRUST zeigen","Scorpio mě může naučit používat SAMOSTŘÍL.","","True","","","B_LogEntry call."
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:213","Einverstanden. Zeig mir den Umgang mit der Armbrust.","Nauč mě ještě lépe zacházet se samostřílem.","","True","GRD_205_Scorpio_CROSSBOW_OK_15_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:218","Gut, fangen wir direkt an.","Dobrá, tak začneme.","","True","GRD_205_Scorpio_CROSSBOW_OK_13_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:219","Fasse die Armbrust am Schaft an, um ruhig zielen zu können, drücke sie an deine Schulter.","Sevři úchyt šípu a drž jej těsně proti ramenu. Pak se soustřeď na zaměření.","","True","GRD_205_Scorpio_CROSSBOW_OK_13_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:220","In den ersten paar Tagen wirst du ein Gefühl haben, als ob dir die Schulter abfällt.","V prvních dnech budeš mít pocit, jakoby ti rameno mělo upadnout.","","True","GRD_205_Scorpio_CROSSBOW_OK_13_04","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:221","Aber schon nach einer Woche hast du eine Schulter wie aus Stein!","Ale už po týdnu budeš mít rameno jako kámen!","","True","GRD_205_Scorpio_CROSSBOW_OK_13_05","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:222","Visier dein Ziel an und zieh durch. Der Bolzen bekommt mehr Kraft als ein Pfeil durch einen gespannten Bogen, von daher richtest du mehr Schaden an!","Zaměř přímo na cíl podél nataženého šípu. Šíp ze samostřílu má daleko větší průbojnost než šíp z obyčejného luku, takže způsobí větší škody!","","True","GRD_205_Scorpio_CROSSBOW_OK_13_06","",""
