"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/system/MENU/menu_log.d:42","Aktuelle\nMissionen","Rozehrané\nmise","","False","MENU_ITEM_SEL_MISSIONS_ACT.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:56","Erfüllte\nMissionen","Dokončené\nmise","","False","MENU_ITEM_SEL_MISSIONS_OLD.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:72","Gescheiterte\nMissionen","Nedokončené\nmise","","False","MENU_ITEM_SEL_MISSIONS_FAILED.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:88","Allgemeine\nInfos","Všeobecné\ninformace","","False","MENU_ITEM_SEL_LOG.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:109","Act Missions","Rozehrané mise","","False","MENU_ITEM_LIST_MISSIONS_ACT.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:129","Old Missions","Dokončené mise","","False","MENU_ITEM_LIST_MISSIONS_FAILED.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:149","Failed Missions","Nedokončené mise","","False","MENU_ITEM_LIST_MISSIONS_OLD.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:169","Log","Deník","","False","MENU_ITEM_LIST_LOG.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:192","no content","prázdné","","False","MENU_ITEM_CONTENT_VIEWER.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:211","Tag","Den","","False","MENU_ITEM_DAY_TITLE.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:220","Zeit:","Čas:","","False","MENU_ITEM_TIME_TITLE.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:229","XX.","XX.","","False","MENU_ITEM_DAY.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_log.d:239","XX:XX","XX:XX","","False","MENU_ITEM_TIME.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_main.d:38","Neues Spiel","Nová hra","","False","MENUITEM_MAIN_NEWGAME.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_main.d:39","Ein neues Abenteuer beginnen.","Začít nové dobrodružství.","","False","MENUITEM_MAIN_NEWGAME.text[1]","",""
"_work/Data/Scripts/system/MENU/menu_main.d:60","Spiel laden","Nahrát hru","","False","MENUITEM_MAIN_SAVEGAME_LOAD.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_main.d:61","Einen gespeicherten Spielstand laden.","Nahrát uloženou hru","","False","MENUITEM_MAIN_SAVEGAME_LOAD.text[1]","",""
"_work/Data/Scripts/system/MENU/menu_main.d:76","Spiel speichern","Uložit hru","","False","MENUITEM_MAIN_SAVEGAME_SAVE.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_main.d:77","Den aktuellen Spielstand speichern.","Uložit rozehranou hru","","False","MENUITEM_MAIN_SAVEGAME_SAVE.text[1]","",""
"_work/Data/Scripts/system/MENU/menu_main.d:98","Weiterspielen","Pokračovat","","False","MENUITEM_MAIN_RESUME.text[0]","",""
"_work/Data/Scripts/system/MENU/menu_main.d:99","Aktuelles Spiel fortführen.","Pokračovat v rozehrané hře","","False","MENUITEM_MAIN_RESUME.text[1]","",""
