"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/NPC/BAU_900_Ricelord.d:5","Der Reislord","Rýžový lord","","False","BAU_900_Ricelord.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_901_Horatio.d:5","Horatio","Horatio","","False","BAU_901_Horatio.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_902_Pock.d:5","Pock","Pock","","False","BAU_902_Pock.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_903_Rufus.d:5","Rufus","Rufus","","False","BAU_903_Rufus.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_912_Jeremiah.d:5","Jeremiah","Jeremiáš","","False","BAU_912_Jeremiah.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_935_Homer.d:5","Homer","Homer","","False","BAU_935_Homer.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_940_Riddler.d:8","Leiche","Mrtvola","","False","Bau_940_Riddler.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte1.d:4","Eskorte1","Doprovod","","False","CS_Eskorte1.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte2.d:4","Eskorte2","Doprovod","","False","CS_Eskorte2.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte3.d:4","Eskorte3","Doprovod","","False","CS_Eskorte3.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte4.d:4","Eskorte4","Doprovod","","False","CS_Eskorte4.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte5.d:4","Eskorte5","Doprovod","","False","CS_Eskorte5.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte6.d:4","Eskorte6","Doprovod","","False","CS_Eskorte6.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Richter.d:5","Richter","Soudce","","False","CS_Richter.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_102_Arto.d:5","Arto","Arto","","False","EBR_102_Arto.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_105_Raven.d:5","Raven","Raven","","False","EBR_105_Raven.name","",""
