"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:20","Du siehst ganz schön ungelenkig aus, ich könnte dir helfen.","Nevypadáš moc hbitě. Mohl bych ti pomoci.","","","DIA_ORG_833_Buster_02_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:57","Wie kannst du mir helfen?","Jak mi můžeš pomoci?","","","DIA_ORG_833_Buster3.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:67","Ich kann dir die hohe Kunst der Körperbeherrschung zeigen. AKROBATIK.","Můžu ti ukázat, jak ovládat své tělo. To je umění AKROBACIE.","","","DIA_ORG_833_Buster3_02_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:74","Buster der Bandit unterichtet das Talent AKROBATIK.","Bandita Buster mě naučí umění AKROBACIE.","","","","","B_LogEntry call."
"_work/Data/Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:85","Wenn du deinen Körper beherrscht, bist du in der Lage viel weiter zu springen. ","Brzy získáš kontrolu nad svým tělem a budeš schopen skákat mnohem dál.","","","DIA_ORG_833_Buster3_02_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:86","Du lernst dich richtig abzurollen und aus dem Fall heraus richtig zu landen. Aber denk daran, du bist nicht unsterblich!","Naučil ses, jak se stočit a jak nejlépe při pádu dopadnout na zem. Ale nezapomeň - nejsi nesmrtelný!","","","DIA_ORG_833_Buster3_02_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:87","Auch im Kampf ist Akrobatik sehr hilfreich. Du kannst deinen Abstand zum Gegner sehr schnell verändern. Viel Glück! ","Akrobacie může být také velmi užitečná v boji. Můžeš velmi rychle měnit vzdálenost mezi tebou a tvým nepřítelem. Hodně štěstí!","","","DIA_ORG_833_Buster3_02_04","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:36","Ich habe die Bedarfsliste der alten Mine.","Mám seznam požadavků pro Starý důl.","","","DIA_Roscoe_BringList.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:49","Ich habe die Bedarfsliste der alten Mine.","Mám seznam požadavků pro Starý důl.","","","DIA_Roscoe_BringList_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:50","Nicht schlecht. Wie bist du daran gekommen?","To není špatné. Jak jsi k němu přišel?","","","DIA_Roscoe_BringList_10_01","",""
