"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:36","Du kommst aus der Freien Mine, richtig?","Ty jsi ze Svobodného dolu, že jo?","","False","DIA_Senyan_Hello.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:46","Du kommst aus der Freien Mine, richtig?","Ty jsi ze Svobodného dolu, že jo?","","False","DIA_Senyan_Hello_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:47","Richtig. Wie hast du das bloß rausgefunden?","Ano. Jak jsi na to přišel?","","False","DIA_Senyan_Hello_01_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:62","Ich will nur mit dir reden.","Chci s tebou jen mluvit.","","False","DIA_Senyan_JustTalk.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:75","Ich will nur mit dir reden.","Chci s tebou jen mluvit.","","False","DIA_Senyan_JustTalk_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:76","Ich bin nicht zum Reden hier.","Nejsem tu kvůli mluvení.","","False","DIA_Senyan_JustTalk_01_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:36","Na, wie steht's in der Mine?","Tak co, jak to jde v dole?","","False","DIA_Sfb_1001_Hello.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:46","Na, wie steht's in der Mine?","Tak co, jak to jde v dole?","","False","DIA_Sfb_1001_Hello_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:47","Wir haben das Meiste hinter uns. Nur noch wenige Wochen, dann haben wir genug.","Už to máme skoro všecko za sebou. Ještě pár týdnů a budeme mít dost.","","False","DIA_Sfb_1001_Hello_02_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:36","Wer bist du?","Kdo jsi?","","False","Info_Swiney_Hello.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:46","Wer bist du?","Kdo jsi?","","False","Info_Swiney_Hello_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:47","Ich bin der beste Bergbauer, den diese verdammte Kolonie jemals gesehen hat, mein Junge.","Jsem nejlepší důlní inženýr, kterého kdy tahle zpropadená Kolonie spatřila, milej zlatej.","","False","Info_Swiney_Hello_09_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:48","Ich passe auf, dass nicht die Hälfte unserer Jungs von Steinen erschlagen werden, weil sie zu dumm sind, an der richtigen Stelle zu schürfen.","Dávám pozor, aby polovina našich chlapů nebyla zabita padajícími kameny, protože jsou moc hloupí na to, aby kopaly na správném místě.","","False","Info_Swiney_Hello_09_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:62","Ich will bei euch als Schürfer mitmachen!","Chtěl bych se k vám přidat jako rudař!","","False","Info_Swiney_Schuerfer.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:75","Ich will bei euch als Schürfer mitmachen!","Chtěl bych se k vám přidat jako rudař!","","False","Info_Swiney_Schuerfer_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:76","So? Denk bloß nicht, du kannst hier viel erwarten. Jeden Tag gibt's 3 Portionen Reis und für den Rest musst du selber sorgen.","Tak? Nemysli si ale, že tím získáš něco zvláštního. Obnáší to tři porce rýže denně, o zbytek se musíš postarat sám.","","False","Info_Swiney_Schuerfer_09_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:77","Du weißt, warum wir das hier machen? Wir machen die Arbeit, damit alle hier eines Tages wieder rausspazieren können.","Víš, proč to děláme? Děláme to proto, abychom odtud jednoho dne mohli odejít za svobodou.","","False","Info_Swiney_Schuerfer_09_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:78","Das heißt, alles Erz wird abgegeben und kommt auf den großen Haufen. Und einmal im Monat kriegt jeder, der hier hart gearbeitet hat, 50 Brocken Erz zum Versaufen.","To znamená, že všechna vytěžená ruda putuje na velkou rudnou haldu. A jednou za měsíc dostane každý, kdo tady pracoval, 50 nugetů, aby se mohl zpít do němoty.","","False","Info_Swiney_Schuerfer_09_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:79","Das waren auch schon die wichtigsten Sachen, die du wissen musst.","To byly ty nejdůležitější věci, které bys měl znát.","","False","Info_Swiney_Schuerfer_09_04","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:80","Kennst du dich wenigstens mit der Arbeit aus?","Máš s touhle prací alespoň nějaké zkušenosti?","","False","Info_Swiney_Schuerfer_09_05","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:83","Nein.","Ne.","","False","Info_Swiney_Schuerfer_Nein","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:84","Ja.","Ano.","","False","Info_Swiney_Schuerfer_Ja","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:89","Ja.","Ano.","","False","Info_Swiney_Schuerfer_Ja_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:90","Gut! Dann weißt du ja, worauf du zu achten hast. Hier ist Schutzkleidung. 'Ne Spitzhacke musst du dir suchen. Viel Spaß.","Dobrá! Pak víš, na co tu dávat pozor. Tady máš ochranný oděv. Krumpáč si musíš sehnat sám. Bav se!","","False","Info_Swiney_Schuerfer_Ja_09_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:99","Nein.","Ne.","","False","Info_Swiney_Schuerfer_Nein_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:100","Natürlich nicht! Warum immer ich? Gut. Pass auf. Du nimmst jetzt diese Klamotten und ziehst sie dir an - hier.","Samozřejmě, že ne! Proč vždycky já? Dobře, Poslouchej pozorně. Vezmeš si tyhle hadry a oblíkni si je - tady.","","False","Info_Swiney_Schuerfer_Nein_09_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:101","Wenn dir ein Erzbrocken auf den Fuß fällt und du keine Schutzkleidung trägst, bist du ein Krüppel und nur noch die Hälfte für uns wert.","Když ti spadne kus magický rudy na nohu a ty přitom nebudeš na sobě mít ochranný oděv, je z tebe na doživotí mrzák a budeš mít pro nás jen poloviční hodnotu.","","False","Info_Swiney_Schuerfer_Nein_09_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:102","'Ne Spitzhacke liegt hier bestimmt irgendwo noch rum.","Někde se tady bude určitě povalovat krumpáč.","","False","Info_Swiney_Schuerfer_Nein_09_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:103","Aber viel anfangen kannst du damit sowieso nicht - na ja - was soll's ...","Ale stejně s ním moc nepočneš - nojo - co se dá dělat...","","False","Info_Swiney_Schuerfer_Nein_09_04","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:122","Wieviel Erz habt ihr schon gesammelt?","Kolik rudy jste už nahromadili?","","False","Info_Swiney_PERM.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:135","Wie viel Erz habt ihr schon gesammelt?","Kolik rudy jste už nahromadili?","","False","Info_Swiney_PERM_15_00","",""
