location;source;target;id;fuzzy;context;translator_comments;developer_comments
_work/Data/Scripts/content/Story/B/B_BuyAttributePoints.d:40;Keine Steigerung über Maximum 100!;Nelze zvýšit maximum 100!;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_BuyAttributePoints.d:46;Zu wenig Lernpunkte!;Nedostatek zkušenostních bodů!;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_CheckDeadMissionNPCs.d:8;Die Sache mit dem Wasser hat sich mit Leftys Tod wohl erledigt. Ich konnte den Typen sowieso nicht leiden.;Teď když je Lefty mrtev, by se měla vyřešit ta záležitost s vodou. Nikdy jsem toho chlapa neměl rád.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:28;Lerne: Kampf mit Einhandwaffen;Naučil ses: bojovat s jednoručními zbraněmi;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:35;Lerne: Kampf mit Zweihandwaffen;Naučil ses: bojovat s obouručními zbraněmi;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:42;Lerne: Bogenschießen;Naučil ses: střílet z luku;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:49;Lerne: Armbrustschießen;Naučil ses: střílet ze samostřílu;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:56;Lerne: Schlösser knacken;Naučil ses: otevírat zámky;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:63;Lerne: Taschendiebstahl;Naučil ses: vybírat kapsy;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:69;Lerne: Nächster Kreis der Magie;Naučil ses: další kouzelný kruh;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:75;Lerne: Schleichen;Naučil ses: plížit;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:81;Steigere Regenerationsrate;Zvýšit stupeň regenerace;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:87;Lerne: Meister des Feuers;Vyuč se: mistrem ohně;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:93;Lerne: Akrobatik;Naučil ses: akrobacii;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/B/B_GiveSkill.d:103;Zu wenig Lernpunkte!;Nedostatek zkušenostních bodů!;;;;;PrintScreen call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Kapitelwechsel.d:145;Saturas, Anführer der Wassermagier, hat einen letzten Gefallen von mir gefordert. Er benötigt für die Sprengung des Erzhaufens die Hilfe der Feuermagier aus dem Alten Lager. Ich weiß noch nicht, wie ich Gomez' Magier überreden soll, an einem Plan mitzuwirken, der das Ende ihrer Machtgrundlage bedeuten würde, aber mir wird schon was einfallen.;Saturas, představený mágů Vody, mě požádal o poslední laskavost. K odpálení rudné haldy potřebuje pomoc mágů Ohně ze Starého tábora. Nevím sice, jak přesvědčím Gomezovy mágy, aby se účastnili plánu, který je připraví o jejich moc, ale něco už vymyslím.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Kapitelwechsel.d:244;Gorn war wenig zuversichtlich, daß mir das ULU-MULU in der Orkstadt viel helfen würde. Was solls, ich werde es sehr bald herausgefunden haben... so oder so!;Gorn příliš nevěřil tomu, že by mi mohlo ULU-MULU ve skřetím městě nějak pomoci. Ať tak nebo tak, už brzy si to vyzkouším na vlastní kůži...;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_AccessToXardas.d:7;Ich habe alle drei Golemherzen an den Wächter-Dämon übergeben. Im Tausch erhielt ich eine Zauberrune der Teleportation. Mal sehen, wo sie mich hinbringt.;Předal jsem strážci démonů již tři srdce golemů. Výměnou jsem dostal magickou runu teleportace. Uvidíme, kdy přijde vhod.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_BackFromOrcGraveyard.d:13;Ich habe Cor-Angar von den Ereignissen im Ork-Friedhof berichtet. Er war sehr bestürzt und setzt nun seine ganze Hoffnung auf den immer noch bewusstlosen Y'Berion.;Řekl jsem Coru Angarovi o tom, co se stalo na skřetím hřbitově. Byl velmi zmatený. Nyní se všechny jeho naděje upínají k Y´Berionovi, který je stále v bezvědomí.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_BringFoci.d:63;Ich habe Saturas meine Hilfe bei der Vollendung des Ausbruchsplans angeboten. Meine nächste Aufgabe besteht darin, die vier nochfehlenden Fokus-Steinen zu finden.;Nabídl jsem Saturasovi pomoc při dokončení plánu úniku. Můj další úkol je najít zbývající čtyři ohniskové kameny.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_BringFoci.d:68;Nachdem ich Fokus und Almanach aus dem Sumpflager an Saturas übergeben habe, bat er mich, die restlichen vier Fokussteine, die sich nicht im Besitz der Wassermagier befinden, zu suchen.;Poté, co jsem Saturasovi předal ohnisko a rukopis z Tábora v bažinách, požádal mě, abych našel zbývající čtyři ohniskové kameny, které již nejsou ve vlastnictví mágů Vody.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_BringFoci.d:69;Saturas gab mir eine alte Karte, auf der die letzten bekannten Aufenthaltsorte der Fokussteine verzeichnet sind sowie eine Spruchrolle, die mich bei Benutzung direkt zu den Wassermagiern zurückteleportiert.;Saturas mi dal starou mapu s posledními známými polohami ohniskových kamenů a zároveň také kouzelný svitek, který mě přenese zpět ke mágům Vody.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_BringFoci.d:70;Riordian, einer der Wassermagier, hat eine Reihe Tränke für meine Reise gebraut. Ich kann sie mir in seinem Alchemielabor auf der obersten Ebene des Neuen Lagers abholen.;Riordian, jeden z mágů Vody, mi na cestu připravil pár lektvarů. Můžu si je vyzvednout v jeho alchymistické dílně v horní části Nového tábora.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_CancelFindXardas.d:4;Ich habe beschlossen, Saturas NICHT zu erzählen, daß laut Xardas all die Jahre des Erzanhäufens umsonst waren. Sobald ich einen anderen Weg gefunden habe, die magische Barriere zu zerstören, werde ich ihm die ganze Wahrheit erzählen. Bis dahin werde ich die Schande auf mich nehmen, eine Mission nicht erfüllt zu haben.;Rozhodl jsem se, že NEBUDU Saturasovi říkat, že všechny ty roky hromadění rudy byly podle Xardase zbytečné. Jakmile nalezneme jiný způsob, jak prolomit Bariéru, řeknu mu celou pravdu. Do té doby budu žít s hanbou, že jsem nedokončil svůj úkol.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_CuredOrc.d:6;Nachdem ich dem Ork-Sklaven Tarrok seine spezielle Medizin wiederbeschafft habe, zeigt er sich sichtlich hilfsbereit.;Když jsem přinesl skřetímu otrokovi Tarrokovi jeho lék, ukázal se mi být velmi prospěšným.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_EnteredTemple.d:4;Es ist mir gelungen in den Tempel des Schläfers zu gelangen. Ich habe nicht die geringste Ahnung was mich erwartet, aber ich werde es herausfinden.;Podařilo se mi dostat se do Spáčova chrámu. Nemám sebemenší tušení, co se tu ode mě očekává, ale přijdu na to.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_ExploreSunkenTower.d:9;Während Xardas damit beschäftigt ist, eine magische Formel für die Übertragung der Energie auf URIZIEL herzustellen, werde ich zum versunkenen Turm des Dämonenbeschwörers aufbrechen, um nach weiteren Artefakten für den Kampf gegen den Schläfer zu suchen.;Zatímco bude Xardas zaneprázdněn formulací kouzelného zaříkávadla pro přenesení síly do URIZIELU, vypravím se do nekromantovy zatopené věže hledat další artefakty pro boj proti Spáčovi.;;;;;B_LogEntry call.
_work/Data/Scripts/content/Story/CHAPTERS/B_Story_FMTaken.d:88;Diego konnte mir tatsächlich mehr über die Ereignisse im Alten Lager berichten.;Diego mi byl schopen říci o událostech ve Starém táboře něco víc.;;;;;B_LogEntry call.
