"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/NPC/BAU_900_Ricelord.d:5","Der Reislord","","","","BAU_900_Ricelord.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_901_Horatio.d:5","Horatio","","","","BAU_901_Horatio.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_902_Pock.d:5","Pock","","","","BAU_902_Pock.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_903_Rufus.d:5","Rufus","","","","BAU_903_Rufus.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_912_Jeremiah.d:5","Jeremiah","","","","BAU_912_Jeremiah.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_935_Homer.d:5","Homer","","","","BAU_935_Homer.name","",""
"_work/Data/Scripts/content/Story/NPC/BAU_940_Riddler.d:8","Leiche","","","","Bau_940_Riddler.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte1.d:4","Eskorte1","","","","CS_Eskorte1.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte2.d:4","Eskorte2","","","","CS_Eskorte2.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte3.d:4","Eskorte3","","","","CS_Eskorte3.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte4.d:4","Eskorte4","","","","CS_Eskorte4.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte5.d:4","Eskorte5","","","","CS_Eskorte5.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Eskorte6.d:4","Eskorte6","","","","CS_Eskorte6.name","",""
"_work/Data/Scripts/content/Story/NPC/CS_Richter.d:5","Richter","","","","CS_Richter.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_102_Arto.d:5","Arto","","","","EBR_102_Arto.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_105_Raven.d:5","Raven","","","","EBR_105_Raven.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_106_Bartholo.d:5","Bartholo","","","","EBR_106_Bartholo.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_108_Velaya.d:5","Velaya","","","","EBR_108_Velaya.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_109_Syra.d:5","Syra","","","","EBR_109_Syra.name","",""
"_work/Data/Scripts/content/Story/NPC/EBR_110_Seraphia.d:5","Seraphia","","","","EBR_110_Seraphia.name","",""
"_work/Data/Scripts/content/Story/NPC/Ebr_100_Gomez.d:5","Gomez","","","","EBR_100_Gomez.name","",""
"_work/Data/Scripts/content/Story/NPC/Ebr_101_Scar.d:5","Scar","","","","EBR_101_Scar.name","",""
"_work/Data/Scripts/content/Story/NPC/GUR_1212_MadCorKalom.d:7","verrückter Cor Kalom","","","","GUR_1212_MadCorKalom.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_200_Thorus.d:5","Thorus","","","","Grd_200_Thorus.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_201_Jackal.d:5","Jackal","","","","GRD_201_Jackal.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_203_Bullit.d:5","Bullit","","","","GRD_203_Bullit.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_205_Scorpio.d:5","Scorpio","","","","Grd_205_Scorpio.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_208_Cutter.d:5","Cutter","","","","GRD_208_Cutter.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_210_Scatty.d:5","Scatty","","","","GRD_210_Scatty.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_211_Skip.d:5","Skip","","","","GRD_211_Skip.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_219_Stone.d:5","Stone","","","","GRD_219_Stone.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_224_Pacho.d:5","Pacho","","","","GRD_224_Pacho.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_233_Bloodwyn.d:5","Bloodwyn","","","","GRD_233_Bloodwyn.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_251_Kirgo.d:5","Kirgo","","","","GRD_251_Kirgo.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_254_Orry.d:5","Orry","","","","GRD_254_Orry.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_255_Fletcher.d:5","Fletcher","","","","GRD_255_Fletcher.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_260_Drake.d:5","Drake","","","","GRD_260_Drake.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_261_Brandick.d:5","Brandick","","","","GRD_261_Brandick.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_262_Aaron.d:5","Aaron","","","","GRD_262_Aaron.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_263_Asghan.d:5","Asghan","","","","GRD_263_Asghan.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_271_Ulbert.d:5","Ulbert","","","","GRD_271_Ulbert.name","",""
"_work/Data/Scripts/content/Story/NPC/Grd_282_Nek.d:5","Toter Gardist","","","","GRD_282_Nek.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1200_YBerion.d:5","Y'Berion","","","","GUR_1200_YBerion.name","",""
"_work/Data/Scripts/content/Story/NPC/Gur_1201_CorKalom.d:5","Cor Kalom","","","","GUR_1201_CorKalom.name","",""
