"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:36","Du kümmerst dich um die Reisfelder, richtig?","You take care of the rice fields, don't you?","","","DIA_Ricelord_Hello.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:46","Du kümmerst dich um die Reisfelder, richtig?","You take care of the rice fields, don't you?","","","DIA_Ricelord_Hello_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:47","Warum? Suchst du Arbeit?","Why? You looking for work?","","","DIA_Ricelord_Hello_12_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:61","Hast du Arbeit für mich?","Have you got work for me?","","","DIA_Ricelord_Arbeit.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:76","Hast du Arbeit für mich?","Have you got work for me?","","","DIA_Ricelord_Arbeit_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:77","Geh zu Lefty. Er ist meistens hier vorne rechts neben der Scheune.","Go and see Lefty. He's usually to the right of the shed.","","","DIA_Ricelord_Arbeit_12_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:91","Wir könnten handeln...","We could make a deal...","","","DIA_Ricelord_TRADE.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:105","Wir könnten handeln ...","We could make a deal...","","","DIA_Ricelord_TRADE_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:106","Was hast du denn zu bieten?","What have you got to offer?","","","DIA_Ricelord_TRADE_12_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:119","Lefty schickt mich.","Lefty sent me.","","","DIA_Ricelord_LeftySentMe.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_Bau_900_Ricelord.d:135","Lefty schickt mich.","Lefty sent me.","","","DIA_Ricelord_LeftySentMe_15_00","",""
