"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:46","Wen haben wir denn da? Du bist doch der Typ, den ich getauft habe? Was willst du? Noch mehr Schläge? ","Who have we here? Ain't you the guy I baptized earlier? What do you want? You come back for more?","","","DIA_Bullit_First_06_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:60","Ich bin gekommen, um dir dein großes Maul zu stopfen.","I've come to stuff your big mouth for you.","","","DIA_Bullit_AufsMAul.description","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:70","Ich bin gekommen, um dir dein großes Maul zu stopfen.","I've come to stuff your big mouth for you.","","","DIA_Bullit_AufsMAul_15_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:71","Ja, dann komm mal her, Bürschchen!","Hah, well come here an' give it a try, sonny!","","","DIA_Bullit_AufsMAul_06_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:105","Du schon wieder. Ich hätte dich schon am ersten Tag im See versenken sollen!","You again?! I should have drowned you in the lake the moment I set eyes on you!","","","DIA_GRD_203_Bullit_Wait4SC_06_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:106","Damals hatte ich keine Chance - jetzt ist genau das Gegenteil der Fall.","I didn't stand a chance back then - now the tables are turned.","","","DIA_GRD_203_Bullit_Wait4SC_15_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:107","Du Wurm! Ich hoffe, dass du es mir nicht so einfach machst, wie beim ersten Mal!","You worm! I only hope you don't make it as easy for me as you did the first time!","","","DIA_GRD_203_Bullit_Wait4SC_06_03","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:50","Wer hat DICH denn reingelassen?","Who let YOU in?","","","DIA_Scorpio_Hello_13_00","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:51","Thorus.","Thorus.","","","DIA_Scorpio_Hello_15_01","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:52","Und was willst du hier?","And what do you think you're doing?","","","DIA_Scorpio_Hello_13_02","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:55","Ich wollte mal wissen, wie's hier drin aussieht.","I just wanted to see what it's like in here.","","","DIA_Scorpio_Hello_JustLooking","",""
"_work/Data/Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:56","Ich habe eine Botschaft für die Magier.","I have a message for the mages.","","","DIA_Scorpio_Hello_Mages","",""
