"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/Log_Constants.d:12","Baloros Waffe","Baloros Weapon","","","Baloros_Waffe","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:13","Der Fremde","The Stranger","","","theriddle_log","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:17","Ernennung zum Schatten","Appointment to Shadow","","","GE_BecomeShadow","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:18","Beförderung zum Templer","Promotion to Templar","","","GE_BecomeTemplar","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:19","Beförderung zum Gardisten","Promotion to Guard","","","GE_BecomeGuard","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:20","Der Kreis der Feuermagier","The Circle of the Magicians of Fire","","","GE_BecomeFiremage","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:21","Beförderung zum Söldner","Promotion to Mercenary","","","GE_BecomeMercenary","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:26","Händler im Alten Lager","Merchant in the Old Camp","","","GE_TraderOC","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:27","Händler im Neuen Lager","Merchant in the New Camp","","","GE_TraderNC","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:28","Händler im Sumpflager","Merchant in the Swamp Camp","","","GE_TraderPSI","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:29","Händler ausserhalb der Lager","Merchant outside the camps","","","GE_TraderOW","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:31","Lehrer im Alten Lager","Tutor in the Old Camp","","","GE_TeacherOC","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:32","Lehrer im Neuen Lager","Tutor in the New Camp","","","GE_TeacherNC","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:33","Lehrer im Sumpflager","Tutor in the Swamp Camp","","","GE_TeacherPSI","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:34","Lehrer ausserhalb der Lager","Tutor outside the camps","","","GE_TeacherOW","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:36","Wissen der Tierverwertung","Exploitation of the Prey","","","GE_AnimalTrophies","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:42","Auftrag von Thorus","Thorus' Quest","","","CH1_MordragKO","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:43","Aufnahme Altes Lager","Admission to the Old Camp","","","CH1_JoinOC","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:44","Snafs Rezept","Snaf's Recipe","","","CH1_SnafsRecipe","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:45","Verschwundener Gardist","Vanished Guard","","","CH1_LostNek","",""
"_work/Data/Scripts/content/Story/Log_Constants.d:46","Neuer Hehler für Fisk","New Fence for Fisk","","","CH1_FiskNewDealer","",""
