"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"_work/Data/Scripts/content/Story/svm.d:250","Hör auf mit dieser Magie-Scheiße!","Stop that sorcery!","","","SVM_1_StopMagic","",""
"_work/Data/Scripts/content/Story/svm.d:251","Willst du Schläge? Hör sofort damit auf!!!","Do you want a beating? Stop it at once!!!","","","SVM_1_ISaidStopMagic","",""
"_work/Data/Scripts/content/Story/svm.d:252","Steck die Waffe weg!","Put the weapon down!","","","SVM_1_WeaponDown","",""
"_work/Data/Scripts/content/Story/svm.d:253","Steck endlich die Scheißwaffe weg!!","Put that bloody weapon away now!!","","","SVM_1_ISaidWeaponDown","",""
"_work/Data/Scripts/content/Story/svm.d:254","Nimm das Ding runter!!","Put it down!!","","","SVM_1_WatchYourAim","",""
"_work/Data/Scripts/content/Story/svm.d:255","Wenn du eine aufs Maul willst, ziel ruhig weiter auf mich!","If you want one on your gob just aim at me some more!","","","SVM_1_WatchYourAimAngry","",""
"_work/Data/Scripts/content/Story/svm.d:256","Pass auf! Noch mal und ich verpass dir eine.","Watch out! Try that again and I'll wipe your mug for you.","","","SVM_1_WhatAreYouDoing","",""
"_work/Data/Scripts/content/Story/svm.d:257","Lass uns den kleinen Streit vergessen, okay?","Let's forget about that little argument, okay?","","","SVM_1_LetsForgetOurLittleFight","",""
"_work/Data/Scripts/content/Story/svm.d:258","Komm raus, du Dreckskerl!","Get out, you bastard!","","","SVM_1_Strange","",""
"_work/Data/Scripts/content/Story/svm.d:259","Verdammtes Drecksvieh!","Damned son of a bitch!","","","SVM_1_DieMonster","",""
"_work/Data/Scripts/content/Story/svm.d:260","Jetzt musst du dran glauben!","Now you're done for!","","","SVM_1_DieMortalEnemy","",""
"_work/Data/Scripts/content/Story/svm.d:261","Jetzt gibt's was aufs Maul ...","Now you'll get one in your mug ...","","","SVM_1_NowWait","",""
"_work/Data/Scripts/content/Story/svm.d:262","Du willst wohl noch eine aufs Maul!","Looks like you want some in your mug!","","","SVM_1_YouStillNotHaveEnough","",""
"_work/Data/Scripts/content/Story/svm.d:263","Du wolltest so es so haben!","You were asking for it!","","","SVM_1_YouAskedForIt","",""
"_work/Data/Scripts/content/Story/svm.d:264","Jetzt sorg ich dafür, dass du in Einzelteilen hier weggeschafft wirst!","Now I'll make sure they'll have to carry you away in pieces.","","","SVM_1_NowWaitIntruder","",""
"_work/Data/Scripts/content/Story/svm.d:265","Ich habe dich gewarnt, die Drecksfinger von meinen Sachen zu lassen!","I've warned you before to keep your hands off my stuff!","","","SVM_1_IWillTeachYouRespectForForeignProperty","",""
"_work/Data/Scripts/content/Story/svm.d:266","Ich mach dich fertig, du Dieb!","I'll finish you off, you thief!","","","SVM_1_DirtyThief","",""
"_work/Data/Scripts/content/Story/svm.d:267","Niemand vergreift sich an meinen Kumpels!","Nobody messes with my pals!","","","SVM_1_YouAttackedMyCharge","",""
"_work/Data/Scripts/content/Story/svm.d:268","Du hast einen von uns platt gemacht. Jetzt mach' ich DICH platt!","You have knocked down one of us. Now I'll knock YOU down!","","","SVM_1_YouKilledOneOfUs","",""
"_work/Data/Scripts/content/Story/svm.d:269","Aaaaaargl!","Aaaaaargl!","","","SVM_1_Dead","",""
"_work/Data/Scripts/content/Story/svm.d:270","Aargh","Aargh","","","SVM_1_Aargh_1","",""
"_work/Data/Scripts/content/Story/svm.d:271","Aargh","Aargh","","","SVM_1_Aargh_2","",""
"_work/Data/Scripts/content/Story/svm.d:272","Aargh","Aargh","","","SVM_1_Aargh_3","",""
"_work/Data/Scripts/content/Story/svm.d:273","UUAAARRGGGHHH!!!","UUAAARRGGGHHH!!!","","","SVM_1_Berzerk","",""
"_work/Data/Scripts/content/Story/svm.d:274","Das wird dir noch Leid tun!","You'll be sorry for that!","","","SVM_1_YoullBeSorryForThis","",""
"_work/Data/Scripts/content/Story/svm.d:275","Keine Panik! Hast gewonnen!","Don't panic! You've won!","","","SVM_1_YesYes","",""
"_work/Data/Scripts/content/Story/svm.d:276","Scheiße! Nichts wie weg!","Shit! Run as fast as you can!","","","SVM_1_ShitWhatAMonster","",""
"_work/Data/Scripts/content/Story/svm.d:277","Verdammt!","Damn!","","","SVM_1_Help","",""
"_work/Data/Scripts/content/Story/svm.d:278","Wir sehen uns wieder!","We'll meet again!","","","SVM_1_WeWillMeetAgain","",""
"_work/Data/Scripts/content/Story/svm.d:279","Noch einmal und du kannst was erleben.","Try that again and you'll regret it.","","","SVM_1_NeverTryThatAgain","",""
"_work/Data/Scripts/content/Story/svm.d:280","Nette Waffe! Her damit!","Nice weapon! Give it to me!","","","SVM_1_ITakeYourWeapon","",""
"_work/Data/Scripts/content/Story/svm.d:281","Danke für das Erz, du Held!","Thanks for the ore, you hero!","","","SVM_1_ITookYourOre","",""
"_work/Data/Scripts/content/Story/svm.d:282","Du arme Wurst, hast ja nicht mal Erz dabei!","You poor jerk, you don't even have ore on you!","","","SVM_1_ShitNoOre","",""
"_work/Data/Scripts/content/Story/svm.d:283","Flossen weg!","Hey, hands off!","","","SVM_1_HandsOff","",""
"_work/Data/Scripts/content/Story/svm.d:284","Verschwinde hier!","Make yourself scarce!","","","SVM_1_GetOutOfHere","",""
"_work/Data/Scripts/content/Story/svm.d:285","Hey! Wie kommst du hier rein?","Hey! How did you get in here?","","","SVM_1_YouViolatedForbiddenTerritory","",""
"_work/Data/Scripts/content/Story/svm.d:286","Du glaubst wohl, ich bin bescheuert!","You think I'm stupid?","","","SVM_1_YouWannaFoolMe","",""
"_work/Data/Scripts/content/Story/svm.d:287","Hey du! Was schleichst du da rum.","Hey, you! What are you creeping around here for?","","","SVM_1_WhatsThisSupposedToBe","",""
"_work/Data/Scripts/content/Story/svm.d:288","Raus aus meiner Hütte oder ich ruf die Wachen!","Out of my hut or I'll call the guards!","","","SVM_1_WhyYouAreInHere","",""
"_work/Data/Scripts/content/Story/svm.d:289","Du hast da drinnen nichts verloren! Verschwinde!","You got no business in there! Beat it!","","","SVM_1_WhatDidYouInThere","",""
"_work/Data/Scripts/content/Story/svm.d:290","Kluges Kerlchen!","Clever boy!","","","SVM_1_WiseMove","",""
"_work/Data/Scripts/content/Story/svm.d:291","Wachen! Hierher!","Guards! Over here!","","","SVM_1_Alarm","",""
"_work/Data/Scripts/content/Story/svm.d:292","ALARM!!! EINDRINGLING!!!","ALERT!!! INTRUDER!!!","","","SVM_1_IntruderAlert","",""
"_work/Data/Scripts/content/Story/svm.d:293","Hinter dir!","Behind you!","","","SVM_1_BehindYou","",""
"_work/Data/Scripts/content/Story/svm.d:294","Ah, ein Kampf!","Ah, a fight!","","","SVM_1_TheresAFight","",""
